Name,OAID#link#multi,Affiliation#sortquan,City#sortquan,Region#sortquan,Country#sortquan,Latitude#hidden,Longitude#hidden,Collaborators#multi#link#sortquan,Scope#multi#sortquan,Keywords#multi#sortquan,OA concepts#multi#sortquan,Publications#hidden,Publication Dates#multi#sortquan,#img,#netvis,nerPerson#multi,nerPopulation Group#multi,nerFacility#multi,nerOrganization#multi,nerAdministrative Area#multi,nerLocation#multi,nerProduct#multi,nerEvent#multi,nerWork of Art#multi,nerLegal Document#multi,nerLanguage#multi,nerDate#multi
A. Gomez,https://openalex.org/A3184588983,Unknown,,,,,,https://openalex.org/A3060892145|https://openalex.org/A3186123300,aquifer|transboundary,,Groundwater|Geology|Geotechnical engineering|Aquifer|Environmental science,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A3184588983"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2012,US,,,,,,,,,,,,,
A. Guendouz,https://openalex.org/A2625079901,University of Blida,Blida,,Algeria,36.504765,2.875901,https://openalex.org/A2699498876|https://openalex.org/A2633401645|https://openalex.org/A2696104205|https://openalex.org/A2554984803,aquifer|transboundary,,Geology|Biology|Archaeology|Evaporite|Groundwater recharge|Halite|Mathematical analysis|Geochemistry|Cretaceous|Wadi|Geomorphology|Mathematics|Paleontology|Hydrology (agriculture)|Groundwater|Geotechnical engineering|Structural basin|History|Arid|Ecology|Plateau (mathematics)|Aquifer|Foothills,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2625079901"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2012,US,e601eb65cb18ebcff10b95098bee6cc83d62c29685dc13b88628279150ee41a1,,,,,Blida,,,,,,,
A. Guendouz,https://openalex.org/A2676814254,Unknown,,,,,,https://openalex.org/A2640494160,aquifer,,Surface water|Aquifer|Groundwater|Geochemistry|Ecology|Geology|Geotechnical engineering|Groundwater recharge|Hydrology (agriculture)|Environmental engineering|Environmental isotopes|Biology|Environmental science|Geomorphology|Structural basin|Surface runoff,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2676814254"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2010,US,,,,,,,,,,,,,
A. Mahamat Ali,https://openalex.org/A4292213425,Unknown,,,,,,https://openalex.org/A4292213432|https://openalex.org/A4292213431|https://openalex.org/A4292213427|https://openalex.org/A4292213429|https://openalex.org/A4292213426|https://openalex.org/A4292213423|https://openalex.org/A4292213424|https://openalex.org/A4292213428|https://openalex.org/A4292213430|https://openalex.org/A4292213433,aquifer|transboundary,,Geology|Resource (disambiguation)|Environmental engineering|Biology|Oceanography|Groundwater recharge|Environmental science|Geomorphology|Computer science|Paleontology|Climate change|Groundwater|Quaternary|Geotechnical engineering|Surface water|Computer network|Water resources|Structural basin|Water resource management|Hydrogeology|Ecology|Hydrology (agriculture)|Aquifer,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A4292213425"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2022,US,712c259ded1843e4f765898df18685f3058ca05a4b3dd8475e549f4ae979891a,,,,,,,,,,,,
A. Mahamat Nour,https://openalex.org/A4292213423,University of N'Djamena,N'Djamena,,Chad,12.109413,15.047338,https://openalex.org/A4292213432|https://openalex.org/A4292213431|https://openalex.org/A4292213427|https://openalex.org/A4292213429|https://openalex.org/A4292213426|https://openalex.org/A4292213433|https://openalex.org/A4292213424|https://openalex.org/A4292213428|https://openalex.org/A4292213430|https://openalex.org/A4292213425,aquifer|transboundary,,Geology|Resource (disambiguation)|Environmental engineering|Biology|Oceanography|Groundwater recharge|Environmental science|Geomorphology|Computer science|Paleontology|Climate change|Groundwater|Quaternary|Geotechnical engineering|Surface water|Computer network|Water resources|Structural basin|Water resource management|Hydrogeology|Ecology|Hydrology (agriculture)|Aquifer,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A4292213423"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2022,US,,,,,N'Djamena 15.047338,,,,,,,,
A. Mavlonov,https://openalex.org/A2058586607,Unknown,,,,,,https://openalex.org/A2070951284|https://openalex.org/A2240486607|https://openalex.org/A2092652564,aquifer|transboundary,,Geology|Biology|Electrical engineering|Groundwater flow|Environmental science|Computer science|Cartography|Upstream (networking)|Water table|Groundwater|Tributary|Geotechnical engineering|Computer network|Water resource management|Hydropower|Ecology|Engineering|Hydrology (agriculture)|Aquifer|Irrigation|Geography,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2058586607"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2010,US,61b9c56311ab011fadad8f4a7d29972ad12f5953ca5e8aac22327afb8aaa21f4,,,,,,,,,,,,
A. Mira,https://openalex.org/A4286309007,Unknown,,,,,,https://openalex.org/A4286309003|https://openalex.org/A4286309009|https://openalex.org/A4286309005|https://openalex.org/A4286309004|https://openalex.org/A4286309002|https://openalex.org/A4286309008|https://openalex.org/A4286309011|https://openalex.org/A4286309010|https://openalex.org/A4286309006,aquifer|transboundary,,Wetland|Hydrogeology|Hydrology (agriculture)|Groundwater|Ecology|Geology|Groundwater flow|Geotechnical engineering|Surface water|Environmental engineering|Aquifer|Biology|Environmental science,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A4286309007"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2022,US,584786df5f910a5df3836496dc5e671ea02d39714c0856f0ae70592be51f3649,,,,,,,,,,,,
A. N. Charalambous,https://openalex.org/A2421024882,Unknown,,,,,,,aquifer|transboundary,,Groundwater|Geology|Geotechnical engineering|Groundwater recharge|Hydrology (agriculture)|Geochemistry|Aquifer,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2421024882"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2016,US,,,,,,,,,,,,,
A. Oleaga,https://openalex.org/A2497891593,Unknown,,,,,,https://openalex.org/A2489258024|https://openalex.org/A2639543091|https://openalex.org/A3132826496|https://openalex.org/A2633566122|https://openalex.org/A3186123300|https://openalex.org/A2675915508|https://openalex.org/A2510841100,aquifer|transboundary,,Hydrogeology|Groundwater|Basalt|Outcrop|Geology|Groundwater recharge|Geotechnical engineering|Hydrology (agriculture)|Geochemistry|Aquifer|Geomorphology,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2497891593"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2008,US,b3f9e118f5abafee9d9c2f942e2e5c715d497b1532ea36ef4766c7b8706ca02b,,,,,,,,,,,,
A. Pambuku D. Radojevic,https://openalex.org/A3114708001,Unknown,,,,,,https://openalex.org/A2478352227|https://openalex.org/A2641079011|https://openalex.org/A2491145178|https://openalex.org/A2061648226,aquifer|transboundary,,Karst|Business|Archaeology|Environmental planning|Process management|Geography,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A3114708001"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2016,US,51e5da33c85ed2f1d0446322efbefc9d778678d1773b0142adde6434acdda666,,,,,,,,,,,,
A. Rivera,https://openalex.org/A2998182001,Unknown,,,,,,https://openalex.org/A2998466971,aquifer|transboundary,,Geography|Groundwater|Environmental planning|Ecology|Geology|Resource (disambiguation)|Geotechnical engineering|Habitat|Riparian zone|Computer network|Aquifer|Biology|Environmental science|Computer science|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2998182001"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2013,US,,,,,,,,,,,,,
A. Rivera,https://openalex.org/A3085504345,Unknown,,,,,,https://openalex.org/A3085518772|https://openalex.org/A3085940897|https://openalex.org/A3086175637|https://openalex.org/A3086707070|https://openalex.org/A3086349667|https://openalex.org/A3216340081|https://openalex.org/A3084770820,aquifer|transboundary,,Environmental resource management|Groundwater|Environmental planning|Geology|Geotechnical engineering|Hydrology (agriculture)|Aquifer|Environmental science|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A3085504345"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2015,US,89e1823afbf57011399c19e93129234894cae5c15616019294568d8185b38a31,,,,,,,,,,,,
A. Rivera,https://openalex.org/A2439860965,Unknown,,,,,,https://openalex.org/A3054625179|https://openalex.org/A2185994077|https://openalex.org/A2181533410|https://openalex.org/A2187203393|https://openalex.org/A2189232989|https://openalex.org/A2439623627|https://openalex.org/A2185578807|https://openalex.org/A2425149541,aquifer|transboundary,,Environmental resource management|Environmental protection|Geography|Groundwater|Environmental planning|Engineering|Resource (disambiguation)|Geotechnical engineering|Computer network|Aquifer|Environmental science|Computer science|Political science,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2439860965"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2010,US,,,,,,,,,,,,,
A. Rouleau,https://openalex.org/A3173321495,Unknown,,,,,,https://openalex.org/A3024262188|https://openalex.org/A3183194563|https://openalex.org/A3185956206|https://openalex.org/A3057685151|https://openalex.org/A3184425320|https://openalex.org/A3177164269|https://openalex.org/A3024799289|https://openalex.org/A3174211934|https://openalex.org/A3171835901,aquifer|transboundary,,Hydrogeology|Groundwater|Geology|Geotechnical engineering|Hydrology (agriculture)|Aquifer,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A3173321495"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2005,US,,,,,,,,,,,,,
A. S. Moulla,https://openalex.org/A2699498876,Centre de Recherche NuclÃ©aire dâAlger,Algiers,,Algeria,36.725773,3.006805,https://openalex.org/A2633401645|https://openalex.org/A2696104205|https://openalex.org/A2625079901|https://openalex.org/A2554984803,aquifer|transboundary,,Geology|Biology|Archaeology|Evaporite|Groundwater recharge|Halite|Mathematical analysis|Geochemistry|Cretaceous|Wadi|Geomorphology|Mathematics|Paleontology|Hydrology (agriculture)|Groundwater|Geotechnical engineering|Structural basin|History|Arid|Ecology|Plateau (mathematics)|Aquifer|Foothills,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2699498876"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2012,US,cd156d7774a39d40c4cc44526fe67efea4e53f5d176f4ff8d2c3d18a2dfe3b69,,,,,,,,,,,,
A. S. Moulla,https://openalex.org/A2640494160,Unknown,,,,,,https://openalex.org/A2676814254,aquifer,,Surface water|Aquifer|Groundwater|Geochemistry|Ecology|Geology|Geotechnical engineering|Groundwater recharge|Hydrology (agriculture)|Environmental engineering|Environmental isotopes|Biology|Environmental science|Geomorphology|Structural basin|Surface runoff,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2640494160"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2010,US,,,,,,,,,,,,,
A. Shogenova,https://openalex.org/A4294769078,Tallinn University of Technology,Tallinn,,Estonia,59.395,24.6719,https://openalex.org/A4294769080|https://openalex.org/A4294769079,aquifer,,Salt dome|Chemistry|Geology|Permian|Porosity|Dome (geology)|Petroleum|Hydrogen storage|Geochemistry|Environmental science|Geomorphology|Paleontology|Groundwater|Membrane|Geotechnical engineering|Permeability (electromagnetism)|Organic chemistry|Structural basin|Hydrogen|Hydrology (agriculture)|Aquifer|Biochemistry,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A4294769078"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2022,US,8eef6270689a321f5e029d122cd5525659f4110dbb3f1bab198ee3a8036dffae,,,,,Tallinn,,,,,,,
A. Silva Busso,https://openalex.org/A2633566122,National University of the Littoral,Santa Fe,,Argentina,-31.634443,-60.705276,https://openalex.org/A2489258024|https://openalex.org/A2639543091|https://openalex.org/A3132826496|https://openalex.org/A3186123300|https://openalex.org/A2675915508|https://openalex.org/A2497891593|https://openalex.org/A2510841100,aquifer|transboundary,,Hydrogeology|Groundwater|Basalt|Outcrop|Geology|Groundwater recharge|Geotechnical engineering|Hydrology (agriculture)|Geochemistry|Aquifer|Geomorphology,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2633566122"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2008,US,27319140d5360a6a51424043f47130b4aa9b1fba4b140bfb54f2b7b5b90bbc8a,,,,Santa Fe -60.705276,,,,,,,,
A. V. Mironova,https://openalex.org/A2571901681,Russian Academy of Sciences,Moscow,,Russia,55.710793,37.577812,https://openalex.org/A2723181371|https://openalex.org/A2974582994,aquifer|transboundary,,Mathematics|Hydrogeology|Aquifer|Boundary (topology)|Groundwater|Regional science|Geology|Groundwater flow|Geotechnical engineering|Mathematical analysis|Russian federation|Hydrology (agriculture)|Linguistics|Environmental science|Estonian|Philosophy|Geography|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2571901681"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2006,US,596d01df49b2a7ec2e4bab4e400754f1a1bb4d035bf05e67307556298c08320e,,,,,Moscow,,,,,,,
A.E.C. Stone,https://openalex.org/A3162862379,University of Oxford,Oxford,Oxfordshire,United Kingdom,51.753437,-1.2540097,https://openalex.org/A3083354425,aquifer|transboundary,,Water balance|Groundwater|Geology|Geotechnical engineering|Groundwater recharge|Hydrology (agriculture)|Geochemistry|Aquifer|Vadose zone|Geomorphology|Structural basin,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A3162862379"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2012,US,996bf460409af88df5fb74fd7c3d9fa12978a53c0a2f6d2be10006f902e3a4a4,,,,Oxford,,,,,,,,
A.H. Haidari,https://openalex.org/A2259232661,Wageningen University & Research,Wageningen,,Netherlands,51.984753,5.665749,https://openalex.org/A3016716286|https://openalex.org/A3010742604,aquifer|transboundary,,Paleontology|Arid|Aquifer|Karst|Groundwater|Geology|Geotechnical engineering|Groundwater recharge|Depression-focused recharge|Hydrology (agriculture)|Remote sensing|Geographic information system|Environmental science|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2259232661"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2020,US,81ce97dc98331c69b020dde7afe0affd714310a126ac674d56dcbfef685506ca,,,,Wageningen,,,,,,,,
Aaron Boone,https://openalex.org/A2116731157,Centre National de Recherches MÃ©tÃ©orologiques,Toulouse,,France,43.57524,1.372572,https://openalex.org/A3174591153|https://openalex.org/A109680383|https://openalex.org/A2949442971|https://openalex.org/A3052596784,aquifer|transboundary,,Kalman filter|Scale (ratio)|Geology|Environmental engineering|Biology|Ocean surface topography|Surface runoff|Data assimilation|Business|Meteorology|Extended Kalman filter|Remote sensing|Climatology|Environmental science|Computer science|Satellite|Cartography|Marketing|Biosphere|Ensemble Kalman filter|Geotechnical engineering|Surface water|Artificial intelligence|Aerospace engineering|Ecology|Engineering|SWOT analysis|Hydrology (agriculture)|Geography,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2116731157"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2014,US,9511fa7477c948bc005ca042ec0f22adf06d02bf013383180552a32839b7cefc,,,,,,,,,,,,
Abbas Fayad,https://openalex.org/A2098792005,University of Saskatchewan,Saskatoon,Saskatchewan,Canada,52.133717,-106.632385,https://openalex.org/A2090516660|https://openalex.org/A2486332450|https://openalex.org/A2176953769|https://openalex.org/A2127000099|https://openalex.org/A2144206488|https://openalex.org/A311752267,aquifer|transboundary,,Distributed computing|Resource management (computing)|Ecology|Biology|Water resources|Computer science,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2098792005"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2014,US,39a021f86c20996d8dac282502f341e2a39e30b5216f9494cd3be9471126f527,,,,,,,,,,,,
Abdalraheem M. Huwaysh,https://openalex.org/A3193441216,University of Tripoli,Tripoli,,Libya,32.84808,13.223036,https://openalex.org/A3193390671,aquifer,,Oceanography|Mathematics|Groundwater model|Groundwater|Geology|Groundwater flow|Groundwater recharge|Calibration|Geotechnical engineering|Hydrology (agriculture)|Statistics|Aquifer|Geomorphology|Inflow,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A3193441216"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2021,US,37f1acf32db19cb1de78c284db168ecf995cf38e76f92c48d1a5122a9404125c,,,,,Tripoli,,,,,,,
Abdel Kader Hassane Saley,https://openalex.org/A2942582089,Abdou Moumouni University,Niamey,Niamey,Niger,13.501389,2.098611,https://openalex.org/A2674718167|https://openalex.org/A2990836156|https://openalex.org/A1024543567|https://openalex.org/A2991474685,aquifer|transboundary,,Sociology|Drilling|Paleontology|Population|Mechanical engineering|Demography|Borehole|Aquifer|Groundwater|Geology|Geotechnical engineering|Engineering|Hydrology (agriculture)|Geochemistry|Sedimentary rock|Environmental science|Geomorphology|Structural basin,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2942582089"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2019,US,d629e073a9ac2f498f34b7ac0557344d384a1c8530b8cb467b9f5b72b75f25d3,,,,,,,,,,,,
Abdelhaleem Khader,https://openalex.org/A2911542739,An-Najah National University,Nablus,,Palestinian Territory,32.22037,35.24447,,aquifer|transboundary,,Geology|Gaza strip|Water quality|Biology|Hydraulic head|Artesian aquifer|Oceanography|MODFLOW|Groundwater flow|Groundwater recharge|Salinity|Environmental science|Water table|Groundwater|Water well|Palestine|Saltwater intrusion|Geotechnical engineering|Piezometer|History|Ancient history|Ecology|Hydrology (agriculture)|Aquifer,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2911542739"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2008,US,,,,,,Nablus,,,,,,,
Abdillahi Elmi Adaneh,https://openalex.org/A2999026764,Institut des Sciences de la Terre,GiÃ¨res,,France,45.19794,5.771995,https://openalex.org/A2696541961|https://openalex.org/A2778633585|https://openalex.org/A2555364095|https://openalex.org/A2555176037|https://openalex.org/A1583644477|https://openalex.org/A2549460664|https://openalex.org/A2066346711|https://openalex.org/A2805656261,aquifer|transboundary,,Paleontology|Pleistocene|Basalt|Groundwater|Geothermal gradient|Geology|Geotechnical engineering|Radiogenic nuclide|Hydrology (agriculture)|Geochemistry|Aquifer|Holocene|Silicic|Mantle (geology),"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2999026764"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2020,US,2787fe5fefc4632b6c348277de240c9eaf206ddcac5d644bdaf425bb192a6467,,,,,,,,,,,,
Abeyou W. Worqlul,https://openalex.org/A2651357653,Texas AgriLife Research,,,,30.60183,-96.3591,https://openalex.org/A2242264419|https://openalex.org/A2051687153|https://openalex.org/A1799175297|https://openalex.org/A2567767976|https://openalex.org/A2677475276|https://openalex.org/A835031198|https://openalex.org/A2013090291|https://openalex.org/A2982288616|https://openalex.org/A2982290438|https://openalex.org/A2140409158|https://openalex.org/A366478481|https://openalex.org/A2523801087|https://openalex.org/A2982490823|https://openalex.org/A2982449691|https://openalex.org/A2985214736|https://openalex.org/A2801781684,aquifer|transboundary,,Resilience (materials science)|Environmental resource management|Oceanography|Structural basin|Hydrogeology|Thermodynamics|Groundwater|Physics|Environmental planning|Geology|Geotechnical engineering|Hydrology (agriculture)|Aquifer|Baseline (sea)|Environmental science|Geomorphology|Geography|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2651357653"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2016|2017,US,c14db83383701034b814774b1d15158ab14ff3873a6a6e183dffae8d33b0455a,,,,,,,,,,,,
